first_name,surname,full_name,sex,date_of_birth,religion,citizenship,email,last_school,grade_applied_for,class_year,enrollment_date,medical_conditions,allergies,parent_name,parent_phone,parent_email
John,Doe,John Doe,Male,15/01/2010,Christian,Ugandan,john.doe@email.com,St. Mary's Primary,S1,2025,01/02/2025,None,None,Jane Doe,256701234567,jane.doe@email.com
Mary,Smith,Mary Smith,Female,22/03/2009,Catholic,Ugandan,mary.smith@gmail.com,King's College Primary,S2,2025,15/01/2024,Asthma,Peanuts,Robert Smith,256702345678,robert.smith@gmail.com
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
